测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_perl-libwww-perl_GET_02,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_GET_02/2023-09-02-10_35_59.log,file missing
,oe_test_perl-libwww-perl_POST_02,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_POST_02/2023-09-02-10_49_30.log,file missing
,oe_test_perl-libwww-perl_HEAD_02,fail,./mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_HEAD_02/2023-09-02-10_39_35.log,file missing
udisks2,oe_test_service_udisks2,fail,./mugen-riscv/logs/udisks2/oe_test_service_udisks2/2023-08-31-14:31:15.log,
ipset,oe_test_service_ipset,fail,./mugen-riscv/logs/ipset/oe_test_service_ipset/2023-08-31-12:36:07.log,
upower,oe_test_service_upower,fail,./mugen-riscv/logs/upower/oe_test_service_upower/2023-09-03-21_24_26.log,
keepalived,oe_test_service_keepalived,fail,./mugen-riscv/logs/keepalived/oe_test_service_keepalived/2023-08-31-13:59:04.log,
libtiff,oe_test_libtiff,fail,./mugen-riscv/logs/libtiff/oe_test_libtiff/2023-09-03-22_37_23.log,
iperf3,oe_test_iperf3_command_client,fail,./mugen-riscv/logs/iperf3/oe_test_iperf3_command_client/2023-09-02-18_40_08.log,
libcgroup,oe_test_service_cgconfig,fail,./mugen-riscv/logs/libcgroup/oe_test_service_cgconfig/2023-08-31-14:00:40.log,
openvswitch,oe_test_service_ovn-northd,fail,./mugen-riscv/logs/openvswitch/oe_test_service_ovn-northd/2023-09-02-11_30_55.log,
,oe_test_service_ovn-controller,fail,./mugen-riscv/logs/openvswitch/oe_test_service_ovn-controller/2023-09-02-11_29_31.log,
,oe_test_service_ovn-controller-vtep,fail,./mugen-riscv/logs/openvswitch/oe_test_service_ovn-controller-vtep/2023-09-02-11_32_36.log,
,oe_test_service_ovs-vswitchd,fail,./mugen-riscv/logs/openvswitch/oe_test_service_ovs-vswitchd/2023-09-02-11_26_55.log,
,oe_test_service_openvswitch-ipsec,fail,./mugen-riscv/logs/openvswitch/oe_test_service_openvswitch-ipsec/2023-09-02-11_34_59.log,
,oe_test_service_openvswitch,fail,./mugen-riscv/logs/openvswitch/oe_test_service_openvswitch/2023-09-02-11_21_53.log,
multipath-tools,oe_test_multipath-tools_multipath_01,fail,./mugen-riscv/logs/multipath-tools/oe_test_multipath-tools_multipath_01/2023-09-02-11_34_47.log,timeout
FS_FileSystem,oe_test_FSIO_check_fs_type,fail,./mugen-riscv/logs/FS_FileSystem/oe_test_FSIO_check_fs_type/2023-09-01-15:37:11.log,
dbxtool,oe_test_service_dbxtool,fail,./mugen-riscv/logs/dbxtool/oe_test_service_dbxtool/2023-09-03-03_43_28.log,
sysstat,oe_test_service_sysstat,fail,./mugen-riscv/logs/sysstat/oe_test_service_sysstat/2023-08-31-11:59:31.log,
cloud-init,oe_test_service_cloud-init-local,fail,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-init-local/2023-09-01-23:03:06.log,
,oe_test_service_cloud-final,fail,./mugen-riscv/logs/cloud-init/oe_test_service_cloud-final/2023-09-01-22:55:51.log,
,oe_test_target_cloud-config,fail,./mugen-riscv/logs/cloud-init/oe_test_target_cloud-config/2023-09-01-23:01:56.log,
,oe_test_target_cloud-init,fail,./mugen-riscv/logs/cloud-init/oe_test_target_cloud-init/2023-09-01-23:04:45.log,
lm_sensors,oe_test_service_lm_sensors,fail,./mugen-riscv/logs/lm_sensors/oe_test_service_lm_sensors/2023-08-31-11:59:29.log,
,oe_test_service_fancontrol,fail,./mugen-riscv/logs/lm_sensors/oe_test_service_fancontrol/2023-08-31-11:58:20.log,
util-linux,oe_test_socket_uuidd,fail,./mugen-riscv/logs/util-linux/oe_test_socket_uuidd/2023-08-31-12:37:46.log,
dracut,oe_test_service_dracut-initramfs,fail,./mugen-riscv/logs/dracut/oe_test_service_dracut-initramfs/2023-09-02-10_37_35.log,
open-iscsi,oe_test_service_iscsi,fail,./mugen-riscv/logs/open-iscsi/oe_test_service_iscsi/2023-08-31-04:18:31.log,
